Country,Year,Energy use (kg of oil equivalent per capita),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Individuals using the Internet (% of population),"International migrant stock, total"
north america,1990,7667.611043,,0.742692502,99269
namibia,1990,,,0,3721
new caledonia,1990,,,0,222242
niger,1990,,,0,727262
nigeria,1990,697.6134003,,0,..
nicaragua,1990,483.797755,,0,41295
netherlands,1990,4394.54209,,0.334386942,178077
norway,1990,4966.893577,,0.707299448,4226
nepal,1990,306.216431,,0,478294
nauru,1990,,,0,1163883
new zealand,1990,3854.366028,,0,..
oecd members,1990,4247.933166,,0.24375088,821605
oman,1990,2328.296437,,0,41561
other small states,1990,2515.007476,,0,3210
pakistan,1990,398.5190759,,0,5305
panama,1990,603.3630021,,0,..
peru,1990,441.0345717,,0,3970
philippines,1990,463.8337957,,0,1402896
palau,1990,4878.647629,,0,18031
papua new guinea,1990,,,0,788767
poland,1990,2705.608743,,0,1392282
pre-demographic dividend,1990,541.560323,,0,714140
puerto rico,1990,,,0,428900
"korea, dem. people’s rep.",1990,1637.113862,,0,574025
portugal,1990,1680.962391,,0,528693
paraguay,1990,727.5491516,,0,8954
west bank and gaza,1990,,,0,84844
pacific island small states,1990,333.8612261,,0,2911
post-demographic dividend,1990,4745.814427,,0.27048706,50666
french polynesia,1990,,,0,37984
qatar,1990,13703.08937,,0,1163686
romania,1990,2683.178895,,0,306500
russian federation,1990,5928.660986,,0,5062
rwanda,1990,,,0,318
south asia,1990,332.5027577,,0,558307
saudi arabia,1990,3573.073624,,0,6892920
sudan,1990,412.4554916,,0,1306574
senegal,1990,224.0668631,,0,3650286
singapore,1990,3782.720276,,0,23251026
solomon islands,1990,170.9452136,,0,98116
sierra leone,1990,,,0,1653000
el salvador,1990,468.4390879,,0,2308
san marino,1990,,,0,1025009
somalia,1990,,,0,28118
serbia,1990,2598.79304,,,51970
sub-saharan africa (excluding high income),1990,693.2615864,,0,288332
south sudan,1990,,,,118863
sub-saharan africa,1990,693.2344849,,0,279029
small states,1990,2161.722569,,0,626821
sao tome and principe,1990,196.7605969,,0,14168146
suriname,1990,,,0,205846
slovak republic,1990,4024.669067,,0,3815082
slovenia,1990,2857.564531,,0,42323294
sweden,1990,5514.55753,,0.584192066,11562099
eswatini,1990,375.4756996,,0,2583562
sint maarten (dutch part),1990,,,,2530977
seychelles,1990,540.8088394,,0,20064759
syrian arab republic,1990,840.8455098,,0,58408632
turks and caicos islands,1990,,,0,29836824
chad,1990,,,0,31440033
east asia & pacific (ida & ibrd countries),1990,698.7204124,,0,26957449
europe & central asia (ida & ibrd countries),1990,3914.90092,,0,8876708
togo,1990,334.6941111,,0,12008148
thailand,1990,741.6055918,,0,75764201
tajikistan,1990,1004.530061,,0,52688929
turkmenistan,1990,4755.072182,,0,78070527
latin america & the caribbean (ida & ibrd countries),1990,1034.541231,,0,10267704
timor-leste,1990,,,0,15113894
middle east & north africa (ida & ibrd countries),1990,828.7733447,,0,25381598
tonga,1990,266.6017734,,0,28119318
south asia (ida & ibrd),1990,332.5027577,,0,6957619
sub-saharan africa (ida & ibrd countries),1990,693.2344849,,0,6161667
trinidad and tobago,1990,4903.152526,,0,6461378
tunisia,1990,600.174025,,0,11073226
turkey,1990,977.6631364,,0,76504803
tuvalu,1990,,,0,8884567
tanzania,1990,386.1782994,,0,32296830
uganda,1990,,,0,18100609
ukraine,1990,4856.585851,,0,8286453
upper middle income,1990,1365.702239,,0,7998121
uruguay,1990,723.9362864,,0,67620236
united states,1990,7671.773066,,0.784728502,27600027
uzbekistan,1990,2260.766943,,0,..
st. vincent and the grenadines,1990,273.8444978,,0,64636059
"venezuela, rb",1990,2016.410915,,0,1702222
british virgin islands,1990,,,0,39024
virgin islands (u.s.),1990,,,0,70533191
vietnam,1990,262.7789681,,0,10996437
vanuatu,1990,159.060973,,0,1947092
world,1990,1662.930114,,0.049343085,15144742
samoa,1990,265.5752044,,0,15144742
kosovo,1990,,,,14495276
"yemen, rep.",1990,214.6409481,,0,14491555
south africa,1990,2471.597988,,0,14495276
zambia,1990,678.0414454,,0,35323406
zimbabwe,1990,891.1895906,,0,152269004
aruba,1991,,,,..
afghanistan,1991,,,,..
angola,1991,491.8025707,,,..
albania,1991,572.781844,,,..
andorra,1991,,,,..
arab world,1991,1093.3042,,,..
united arab emirates,1991,12124.94935,,,..
argentina,1991,1435.484658,,,..
armenia,1991,2317.914116,,,..
american samoa,1991,,,,..
antigua and barbuda,1991,,,,..
australia,1991,4927.78159,,1.097203891,..
austria,1991,3415.173082,,0.259081553,..
azerbaijan,1991,3087.874708,,,..
burundi,1991,,,0,..
belgium,1991,5006.004706,,0.020072645,..
benin,1991,327.5398247,,,..
burkina faso,1991,,,,..
bangladesh,1991,118.8982651,,,..
bulgaria,1991,2536.644005,,,..
bahrain,1991,10108.453,,,..
"bahamas, the",1991,,,,..
bosnia and herzegovina,1991,1445.676088,,,..
belarus,1991,4348.467922,,,..
belize,1991,,,,..
bermuda,1991,,,,..
bolivia,1991,383.825578,,,..
brazil,1991,942.0380133,,0.003288171,..
barbados,1991,,,,..
brunei darussalam,1991,7335.265392,,,..
bhutan,1991,,,,..
botswana,1991,935.5330003,,0,..
central african republic,1991,,,,..
canada,1991,7517.330304,,0.570385926,..
central europe and the baltics,1991,2832.542308,,,..
switzerland,1991,3637.19412,,1.17995597,..
channel islands,1991,,,,..
chile,1991,1061.487524,,,..
china,1991,736.8518014,,,..
cote d'ivoire,1991,361.5783722,,,..
cameroon,1991,414.3358429,,,..
"congo, dem. rep.",1991,328.9665181,,,..
"congo, rep.",1991,339.3618888,,,..
colombia,1991,725.353977,,,..
comoros,1991,,,,..
cabo verde,1991,,,,..
costa rica,1991,555.851578,,,..
caribbean small states,1991,,,,..
cuba,1991,1349.567463,,,..
curacao,1991,10062.53333,,,..
cayman islands,1991,,,,
cyprus,1991,1778.908576,,,..
czech republic,1991,4349.236238,,,..
germany,1991,4302.891175,,0.250274153,..
djibouti,1991,,,,..
dominica,1991,,,,..
denmark,1991,3734.818398,,0.194056515,..
dominican republic,1991,556.6242559,,,..
algeria,1991,888.8753117,,,..
east asia & pacific (excluding high income),1991,694.1592306,,,..
early-demographic dividend,1991,630.7356786,,,..
east asia & pacific,1991,1003.894306,,,..
europe & central asia (excluding high income),1991,3947.31884,,,..
europe & central asia,1991,3724.757581,,,..
ecuador,1991,635.3067446,,,..
"egypt, arab rep.",1991,561.9366902,,,..
euro area,1991,3555.688821,,0.169042182,..
eritrea,1991,,,,..
spain,1991,2397.714173,,0.025686194,..
estonia,1991,5841.390649,,,..
ethiopia,1991,478.1276521,,,..
european union,1991,3438.187176,,0.171510768,..
fragile and conflict affected situations,1991,496.0705278,,,..
finland,1991,5742.784229,,1.397439332,..
fiji,1991,,,,..
france,1991,4043.099021,,0.140113895,..
faroe islands,1991,,,,..
"micronesia, fed. sts.",1991,,,,..
gabon,1991,1250.226741,,,..
united kingdom,1991,3707.951971,,0.174230922,..
georgia,1991,2079.052503,,,..
ghana,1991,360.0291885,,,..
gibraltar,1991,2607.676935,,,..
guinea,1991,,,,..
"gambia, the",1991,,,,..
guinea-bissau,1991,,,,..
equatorial guinea,1991,,,,..
greece,1991,2094.621503,,0.048788803,..
grenada,1991,,,0,..
greenland,1991,,,,..
guatemala,1991,478.2875527,,,..
guam,1991,,,,..
guyana,1991,,,,..
high income,1991,4599.637248,,0.459790075,..
"hong kong sar, china",1991,1554.12274,,0.120955444,..
honduras,1991,470.798501,,,..
heavily indebted poor countries (hipc),1991,,,,..
croatia,1991,1742.37229,,,..
haiti,1991,217.0877999,,,..
hungary,1991,2642.922571,,0.00338263,..
ibrd only,1991,1046.849454,,,..
ida & ibrd total,1991,953.7918201,,,..
ida total,1991,486.860936,,,..
ida blend,1991,702.8204287,,,..
indonesia,1991,560.5884132,,,..
ida only,1991,339.14885,,,..
isle of man,1991,,,,..
india,1991,357.36676,,,..
not classified,1991,,,,..
ireland,1991,2827.844498,,0.056796044,..
"iran, islamic rep.",1991,1332.474968,,,..
iraq,1991,891.9123267,,,..
iceland,1991,8054.356723,,0.505129002,..
israel,1991,2324.539301,,0.2146241,..
italy,1991,2645.673237,,0.035063256,..
jamaica,1991,1145.836118,,,..
jordan,1991,899.8781012,,,..
japan,1991,3575.246092,,0.040438041,..
kazakhstan,1991,4555.897511,,,..
kenya,1991,445.0355671,,,..
kyrgyz republic,1991,1520.614526,,,..
cambodia,1991,,,,..
kiribati,1991,,,,..
st. kitts and nevis,1991,,,,..
"korea, rep.",1991,2306.643472,,0.046124435,..
kuwait,1991,1325.066362,,,..
latin america & caribbean (excluding high income),1991,1049.790604,,,..
lao pdr,1991,,,,..
lebanon,1991,827.7123023,,,..
liberia,1991,,,,..
libya,1991,2493.10314,,,..
st. lucia,1991,,,,..
latin america & caribbean,1991,1059.343499,,,..
least developed countries: un classification,1991,296.7596036,,,..
low income,1991,,,,..
liechtenstein,1991,,,,..
sri lanka,1991,319.3242209,,,..
lower middle income,1991,549.9896081,,,..
low & middle income,1991,940.2285928,,,..
lesotho,1991,,,,..
late-demographic dividend,1991,1315.615122,,,..
lithuania,1991,4601.700154,,,..
luxembourg,1991,9353.421189,,,..
latvia,1991,2791.674731,,,..
"macao sar, china",1991,,,,..
st. martin (french part),1991,,,,..
morocco,1991,316.9410513,,,..
monaco,1991,,,,..
moldova,1991,2227.542387,,,..
madagascar,1991,,,,..
maldives,1991,,,0,..
middle east & north africa,1991,1227.447115,,,..
mexico,1991,1518.489241,,0.005880695,..
marshall islands,1991,,,0,..
middle income,1991,961.8030109,,,..
north macedonia,1991,1217.815464,,,..
mali,1991,,,,..
malta,1991,1846.50057,,,..
myanmar,1991,250.6902749,,,..
middle east & north africa (excluding high income),1991,841.427408,,,..
montenegro,1991,,,,..
mongolia,1991,1720.319561,,,..
northern mariana islands,1991,,,,..
mozambique,1991,442.256066,,,..
mauritania,1991,,,,..
mauritius,1991,634.4217232,,,..
malawi,1991,,,,..
malaysia,1991,1454.526816,,,..
north america,1991,7620.080221,,1.104451959,..
namibia,1991,470.4644037,,,..
new caledonia,1991,,,,..
niger,1991,,,,..
nigeria,1991,712.676171,,,..
nicaragua,1991,502.0665166,,,..
netherlands,1991,4603.733175,,0.531496128,..
norway,1991,5105.108205,,1.407395158,..
nepal,1991,307.9886511,,0,..
nauru,1991,,,,..
new zealand,1991,3763.814483,,,..
oecd members,1991,4258.635014,,0.43122188,..
oman,1991,3083.724617,,,..
other small states,1991,,,,..
pakistan,1991,397.0964784,,,..
panama,1991,640.5503032,,,..
peru,1991,423.9700177,,,..
philippines,1991,451.7819034,,,..
palau,1991,,,,..
papua new guinea,1991,,,,..
poland,1991,2641.029448,,0.005229468,..
pre-demographic dividend,1991,529.3989155,,,..
puerto rico,1991,,,,..
"korea, dem. people’s rep.",1991,1538.334478,,,..
portugal,1991,1703.316438,,0.10023057,..
paraguay,1991,731.8736741,,,..
west bank and gaza,1991,,,,..
pacific island small states,1991,,,,..
post-demographic dividend,1991,4757.976545,,0.492652349,..
french polynesia,1991,,,,..
qatar,1991,14818.48681,,,..
romania,1991,2231.806142,,,..
russian federation,1991,5861.15803,,,..
rwanda,1991,,,,..
south asia,1991,337.7910799,,,..
saudi arabia,1991,4025.656821,,,..
sudan,1991,399.4305748,,,..
senegal,1991,215.7971586,,,..
singapore,1991,4167.365585,,0.161504498,..
solomon islands,1991,,,,..
sierra leone,1991,,,,..
el salvador,1991,508.0927364,,,..
san marino,1991,,,,..
somalia,1991,,,,..
serbia,1991,2201.633412,,,..
sub-saharan africa (excluding high income),1991,701.3204352,,,..
south sudan,1991,,,,..
sub-saharan africa,1991,701.3204352,,,..
small states,1991,,,,..
sao tome and principe,1991,,,,..
suriname,1991,,,,..
slovak republic,1991,3606.582437,,,..
slovenia,1991,2778.95039,,,..
sweden,1991,5650.541377,,1.160519453,..
eswatini,1991,,,,..
sint maarten (dutch part),1991,,,,..
seychelles,1991,,,,..
syrian arab republic,1991,889.7230762,,0,..
turks and caicos islands,1991,,,,..
chad,1991,,,,..
east asia & pacific (ida & ibrd countries),1991,683.204335,,,..
europe & central asia (ida & ibrd countries),1991,3806.374176,,,..
togo,1991,334.9300232,,0,..
thailand,1991,795.8405426,,0.0000522,..
tajikistan,1991,938.9150895,,,..
turkmenistan,1991,4011.469221,,,..
latin america & the caribbean (ida & ibrd countries),1991,1049.189159,,,..
timor-leste,1991,,,,..
middle east & north africa (ida & ibrd countries),1991,841.427408,,,..
tonga,1991,,,,..
south asia (ida & ibrd),1991,337.7910799,,,..
sub-saharan africa (ida & ibrd countries),1991,701.3204352,,,..
trinidad and tobago,1991,4841.436397,,,..
tunisia,1991,581.2952213,,,..
turkey,1991,947.7552849,,,..
tuvalu,1991,,,,..
tanzania,1991,381.1970206,,,..
uganda,1991,,,,..
ukraine,1991,4852.502987,,,..
upper middle income,1991,1333.205512,,,..
uruguay,1991,779.5131017,,,..
united states,1991,7631.467806,,1.163193726,..
uzbekistan,1991,2294.824122,,,..
st. vincent and the grenadines,1991,,,,..
"venezuela, rb",1991,2057.526013,,,..
british virgin islands,1991,,,,..
virgin islands (u.s.),1991,,,,..
vietnam,1991,260.7910479,,,..
vanuatu,1991,,,,..
world,1991,1648.869144,,,..
samoa,1991,,,,..
kosovo,1991,,,,..
"yemen, rep.",1991,248.6438927,,,..
south africa,1991,2518.117975,,0.013283591,..
zambia,1991,679.0067392,,,..
zimbabwe,1991,922.6941872,,,..
aruba,1992,,,,..
afghanistan,1992,,,,..
angola,1992,478.585592,,,..
albania,1992,418.2866298,,,..
andorra,1992,,,,..
arab world,1992,1147.938781,,,..
united arab emirates,1992,10890.46764,,,..
argentina,1992,1489.347594,,0.002992874,..
armenia,1992,1199.772454,,,..
american samoa,1992,,,,..
antigua and barbuda,1992,,,,..
australia,1992,4959.214919,,1.768764913,..
austria,1992,3245.592076,,0.642817619,..
azerbaijan,1992,2464.597399,,,..
burundi,1992,,,0,..
belgium,1992,5040.67044,,0.100041027,..
benin,1992,324.147385,,,..
burkina faso,1992,,,,..
bangladesh,1992,122.7269533,,,..
bulgaria,1992,2396.007266,,,..
bahrain,1992,10837.74752,,,..
"bahamas, the",1992,,,,..
bosnia and herzegovina,1992,1050.833602,,,..
belarus,1992,3620.731989,,,..
belize,1992,,,,..
bermuda,1992,,,,..
bolivia,1992,398.0576518,,,..
brazil,1992,935.7464745,,0.012946262,..
barbados,1992,,,,..
brunei darussalam,1992,7666.050852,,,..
bhutan,1992,,,,..
botswana,1992,1048.664739,,,..
central african republic,1992,,,,..
canada,1992,7601.685177,,0.91598104,..
central europe and the baltics,1992,2624.1144,,,..
switzerland,1992,3613.284329,,1.751713322,..
channel islands,1992,,,,..
chile,1992,1129.087126,,0.036548938,..
china,1992,752.6286625,,,..
cote d'ivoire,1992,380.4980339,,,..
cameroon,1992,406.7248615,,,..
"congo, dem. rep.",1992,322.1900067,,,..
"congo, rep.",1992,326.1360058,,,..
colombia,1992,727.6019695,,,..
comoros,1992,,,,..
cabo verde,1992,,,,..
costa rica,1992,699.2502708,,0.001113325,..
caribbean small states,1992,,,,..
cuba,1992,1175.521151,,,..
curacao,1992,10501.83445,,,..
cayman islands,1992,,,,
cyprus,1992,1958.79522,,0.05006043,..
czech republic,1992,4222.416576,,,..
germany,1992,4190.98422,,0.43528529,..
djibouti,1992,,,,..
dominica,1992,,,,..
denmark,1992,3561.890369,,0.386913951,..
dominican republic,1992,605.7841282,,,..
algeria,1992,888.7352846,,,..
east asia & pacific (excluding high income),1992,707.3164018,,,..
early-demographic dividend,1992,634.9420028,,,..
east asia & pacific,1992,1026.715757,,,..
europe & central asia (excluding high income),1992,3566.834165,,,..
europe & central asia,1992,3505.359101,,0.262323909,..
ecuador,1992,628.6066545,,0.005118035,..
"egypt, arab rep.",1992,564.4095996,,,..
euro area,1992,3467.814392,,0.325553984,..
eritrea,1992,388.6111598,,,..
spain,1992,2430.374523,,0.076845453,..
estonia,1992,4283.158664,,0.065484797,..
ethiopia,1992,472.5057773,,,..
european union,1992,3347.421965,,0.309923095,..
fragile and conflict affected situations,1992,523.870437,,,..
finland,1992,5380.993068,,1.88687977,..
fiji,1992,,,,..
france,1992,3954.003194,,0.279049463,..
faroe islands,1992,,,,..
"micronesia, fed. sts.",1992,,,,..
gabon,1992,1300.710468,,,..
united kingdom,1992,3684.724535,,0.260615159,..
georgia,1992,1776.767826,,,..
ghana,1992,362.2655899,,,..
gibraltar,1992,3182.004161,,,..
guinea,1992,,,,..
"gambia, the",1992,,,,..
guinea-bissau,1992,,,,..
equatorial guinea,1992,,,,..
greece,1992,2129.894516,,0.048291602,..
grenada,1992,,,0,..
greenland,1992,,,,..
guatemala,1992,492.7629725,,,..
guam,1992,,,,..
guyana,1992,,,,..
high income,1992,4621.189013,,0.715981807,..
"hong kong sar, china",1992,1831.054737,,0.849527883,..
honduras,1992,477.3341662,,,..
heavily indebted poor countries (hipc),1992,,,,..
croatia,1992,1634.565011,,,..
haiti,1992,221.0952316,,,..
hungary,1992,2423.179448,,0.048353421,..
ibrd only,1992,1013.813994,,,..
ida & ibrd total,1992,923.2869383,,,..
ida total,1992,476.0057713,,,..
ida blend,1992,689.949059,,,..
indonesia,1992,574.5652283,,,..
ida only,1992,330.7446986,,,..
isle of man,1992,,,,..
india,1992,363.0783456,,0.000111308,..
not classified,1992,,,,..
ireland,1992,2775.218003,,0.169686377,..
"iran, islamic rep.",1992,1376.357362,,,..
iraq,1992,1288.230705,,,..
iceland,1992,7755.394416,,1.53916008,..
israel,1992,2580.969354,,0.310579197,..
italy,1992,2627.340008,,0.070053433,..
jamaica,1992,1195.481683,,,..
jordan,1992,955.7517563,,,..
japan,1992,3649.944321,,0.096678025,..
kazakhstan,1992,4796.144252,,,..
kenya,1992,442.2394182,,,..
kyrgyz republic,1992,1102.747265,,,..
cambodia,1992,,,,..
kiribati,1992,,,,..
st. kitts and nevis,1992,,,,..
"korea, rep.",1992,2534.341028,,0.098404337,..
kuwait,1992,,,,..
latin america & caribbean (excluding high income),1992,1055.127764,,0.012660481,..
lao pdr,1992,,,,..
lebanon,1992,796.6436421,,,..
liberia,1992,,,,..
libya,1992,2423.686675,,,..
st. lucia,1992,,,,..
latin america & caribbean,1992,1068.636814,,0.013663558,..
least developed countries: un classification,1992,296.3635952,,,..
low income,1992,,,,..
liechtenstein,1992,,,,..
sri lanka,1992,323.9481867,,,..
lower middle income,1992,533.0812432,,,..
low & middle income,1992,908.5768681,,,..
lesotho,1992,,,,..
late-demographic dividend,1992,1267.394805,,,..
lithuania,1992,2978.411206,,,..
luxembourg,1992,9262.081979,,0.153198791,..
latvia,1992,2335.409193,,,..
"macao sar, china",1992,,,,..
st. martin (french part),1992,,,,..
morocco,1992,329.8284038,,,..
monaco,1992,,,,..
moldova,1992,1847.259039,,,..
madagascar,1992,,,,..
maldives,1992,,,0,..
middle east & north africa,1992,1290.688063,,,..
mexico,1992,1503.678088,,0.01730781,..
marshall islands,1992,,,0,..
middle income,1992,930.9607237,,,..
north macedonia,1992,1358.179054,,,..
mali,1992,,,,..
malta,1992,1807.05787,,,..
myanmar,1992,255.3509667,,,..
middle east & north africa (excluding high income),1992,882.5575372,,,..
